Verbatim,Verbatim,Label
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
"Text: nan

Question: nan","Text: nan

Question: nan",2
